date,type,description,borough
20241108,murder,Fatal stabbing during a street confrontation; three witnesses fled the scene,Manhattan
20250219,fraud,Sophisticated phishing attack targeting local businesses,Manhattan
20230614,theft,Bicycle stolen from a high school rack; no witnesses were present at the time,Brooklyn
20240105,assault,Physical altercation in a parking lot; several bystanders intervened,Staten Island
20251225,arson,Structure fire at a vacant warehouse; suspicious accelerants found,Bronx
20230912,bribery,Contractor offered cash to bypass building safety codes; witnessed by a junior clerk,Manhattan
20240430,robbery,Armed robbery at a pharmacy; pharmacist provided a detailed description,Brooklyn
20250722,theft,Shoplifting of high-end apparel; security footage under review,Staten Island
20230311,murder,Investigation into a shooting at a private residence; a neighbor reported hearing shots,Queens
20241005,fraud,Insurance claim filed using falsified medical reports,Manhattan
20250519,assault,Bar fight resulting in minor injuries; the bartender witnessed the start,Bronx
20230827,arson,Intentional fire set to a dumpster behind a grocery store,Manhattan
20241212,theft,Valuables taken from an unlocked vehicle overnight; no witnesses came forward,Brooklyn
20250130,robbery,Mugging in a public park; witness called 911 immediately,Manhattan
20231103,bribery,Bribe offered to a licensing clerk for expedited processing,Staten Island
20240715,murder,Drive-by shooting incident; multiple witnesses identified the car,Staten Island
20250901,fraud,Counterfeit currency passed at a local market,Brooklyn
20230418,assault,Unprovoked attack on a subway platform; captured on CCTV with several witnesses,Queens
20240226,arson,Brush fire started with a flare; hiker reported seeing a suspect,Brooklyn
20251110,theft,Laptop stolen from a public library,Bronx
20231022,robbery,Bank heist involving a note-passer; several customers were present,Brooklyn
20240505,fraud,Unauthorized use of a stolen credit card at multiple locations,Staten Island
20250814,murder,Body discovered in a city park; forensic investigation ongoing with no witnesses,Manhattan
20230129,assault,Dispute between coworkers escalated to physical violence,Staten Island
20240930,theft,Jewelry taken during a home burglary; neighbor heard glass breaking,Brooklyn
20250412,bribery,Cash exchange observed between a developer and a public official,Queens
20230707,arson,Empty house set on fire; fire marshal confirmed arson; no witnesses reported,Brooklyn
20241121,robbery,Cell phone stolen at knifepoint; victim unharmed,Bronx
20250305,fraud,Tax evasion scheme involving offshore accounts; whistleblower provided evidence,Manhattan
20230528,assault,Aggravated assault involving a blunt object,Brooklyn
20240808,theft,Backpack stolen from a gym locker; a staff member saw a suspicious individual,Staten Island
20250617,murder,Homicide investigation following a gang-related shooting,Queens
20231215,arson,Car fire set in a residential driveway; neighbor caught the act on a doorbell cam,Staten Island
20240623,bribery,Bribe offered to a juror during a high-profile trial,Manhattan
20251010,theft,Lawn equipment stolen from a shed; witness saw a white van leaving,Brooklyn
20230214,robbery,Gas station robbery at gunpoint; clerk was the sole witness,Brooklyn
